Source Name,No.,Title,Tender No.,Category,Ministry,Tenderer,Address,Date,Display Date,Price
myprocurement_export (10).xlsx,17,"[FTA(CPTPP)] TENDER PEMBEKALAN ANIDULAFUNGIN 100MG INJECTION SEBANYAK 44,950 VIAL DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI DAN KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT250000000010632,Bekalan,KEMENTERIAN KESIHATAN,QUALITY REPUTATION SDN. BHD.,"B-G-13, B-1-13 & B-2-13, BLOK B,, TAIPAN 2, JALAN PJU 1A/3,, ARA DAMANSARA PETALING 47301 SELANGOR",12/11/25 17:41,TIADA MAKLUMAT,"13,880,560.00"
myprocurement_export (10).xlsx,18,"[FTA(CPTPP)] TENDER PEMBEKALAN EPERISONE HCL 50MG TABLET SEBANYAK 19,144,200 TABLET DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI DAN KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT250000000010640,Bekalan,KEMENTERIAN KESIHATAN,QUALITY REPUTATION SDN. BHD.,"B-G-13, B-1-13 & B-2-13, BLOK B,, TAIPAN 2, JALAN PJU 1A/3,, ARA DAMANSARA PETALING 47301 SELANGOR",12/11/25 17:41,TIADA MAKLUMAT,"14,540,019.90"
myprocurement_export (10).xlsx,60,"[FTA(CPTPP)] TENDER PEMBEKALAN MEROPENEM INJECTION SECARA PAKEJ: I) MEROPENEM 500MG INJECTION SEBANYAK 346,280 VIAL; DAN II) MEROPENEM 1G INJECTION SEBANYAK 2,591,745 VIAL DI FASILITI-FASILITI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI DAN KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT250000000002146,Bekalan,KEMENTERIAN KESIHATAN,TERAJU FARMA SDN. BHD.,"NO.21, JALAN KOTA RAJA H, 27/H, HICOM TOWN CENTRE PETALING 40400 SELANGOR",12/11/25 17:41,TIADA MAKLUMAT,"2,423,960.00"
myprocurement_export (10).xlsx,14,"[FTA (CPTPP)]  TENDER MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH 22 UNIT PERALATAN PERUBATAN AUTOCLAVE MACHINE UNTUK KEGUNAAN PERKHIDMATAN PENSTERILAN BERPUSAT HOSPITAL-HOSPITAL KEMENTERIAN KESIHATAN MALAYSIA BAGI TEMPOH DUA (2) TAHUN",T/P&P 131/2025,Bekalan,KEMENTERIAN KESIHATAN,HEXAMINE SDN. BHD.,"49, LORONG RAHIM KAJAI 13, TMN TUN DR. ISMAIL TIADA MAKLUMAT DAERAH 60000 WILAYAH PERSEKUTUAN KUALA LUMPUR",12/11/25 12:41,TIADA MAKLUMAT,"10,610,006.00"
myprocurement_export (10).xlsx,15,"[FTA (CPTPP)] TENDER MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH TIGA (3) UNIT PERALATAN PERUBATAN BIPLANE ANGIOGRAPHY UNTUK KEGUNAAN JABATAN RADIOLOGI HOSPITAL TENGKU AMPUAN AFZAN, HOSPITAL RAJA PEREMPUAN ZAINAB II DAN HOSPITAL SULTANAH NUR ZAHIRAH",T/P&P 98/2025,Bekalan,KEMENTERIAN KESIHATAN,METRO JENDELA SDN. BHD.,"NO. 6, BLOK B JALAN  KECAPI 33/2, SEKSYEN 33, ELITE INDUSTRIAL ESTATE PETALING 40400 SELANGOR",12/11/25 12:41,TIADA MAKLUMAT,"21,800,000.00"
myprocurement_export (10).xlsx,45,"[FTA(CPTPP)] TENDER PEMBEKALAN ALPROSTADIL 500MCG/ML INJECTION SEBANYAK 14,580 AMPUL DI FASILITI - FASILITI KEMENTERIAN KESIHATAN MALAYSIA, KEMENTERIAN PENDIDIKAN TINGGI DAN KEMENTERIAN PERTAHANAN MALAYSIA BAGI TEMPOH TIGA TAHUN (POOL PROCUREMENT)",QT25000000010763,Bekalan,KEMENTERIAN KESIHATAN,PHARMANIAGA LOGISTICS SDN. BHD.,"NO. 7, LORONG KELULI 1B, KAWASAN PERINDUSTRIAN, BUKIT RAJA SELATAN, SEKSYEN 7 PETALING 40000 SELANGOR",12/11/25 10:41,TIADA MAKLUMAT,"28,708,020.00"
myprocurement_export (10).xlsx,21,[FTA(CPTPP)] TENDER MEMBEKAL DAN MENGHANTAR REAGEN DAN KONSUMABLE BESERTA ANALYSER UNTUK UJIAN BLOOD GASES DI HOSPITAL - HOSPITAL NEGERI JOHOR BAGI TEMPOH EMPAT (4) TAHUN  (MAKLUMAT LANJUT SILA LAYARI LAMAN SESAWANG HTTPS://JKNJOHOR.MOH.GOV.MY/JKNJ/TENDER-SEBUT-HARGA/) [TAWARAN PETENDER DIBENARKAN DALAM BM/ENG],QT240000000035418,Bekalan,KEMENTERIAN KESIHATAN,MEDI DIASTIKA SDN. BHD.,"NO.15-1, JALAN PUTRA MAHKOTA 7/8B, PUTRA HEIGHTS PETALING 47650 SELANGOR",12/11/25 4:41,TIADA MAKLUMAT,"37,094,848.70"
myprocurement_export (10).xlsx,23,"[FTA(CPTPP)] PERKHIDMATAN MEMBEKAL, MENGHANTAR, MEMASANG, MENGKONFIGURASI, MIGRASI, MENGUJI DAN MENTAULIAH GUNA SERTA PELUASAN SISTEM BLOOD BANK INFORMATION SYSTEM VERSI 2 (BBISV2) KE 93 TABUNG DARAH DI HOSPITAL DAN PUSAT DARAH NEGARA, KEMENTERIAN KESIHATAN MALAYSIA (KKM) BAGI TEMPOH KONTRAK 48 BULAN (MAKLUMAT LANJUT SILA LAYARI LAMAN SESAWANG: HTTPS://PDN.GOV.MY/TENDER) [TAWARAN PETENDER DIBENARKAN DALAM BM/ENG]",QT250000000011296,Perkhidmatan Bukan Perunding,KEMENTERIAN KESIHATAN,OPENSOFT TECHNOLOGIES SDN. BHD.,"SUITE 1.11,, UITM-MTDC TECHNOPRENEUR CENTRE,, UNIVERSITI TEKNOLOGI MARA PETALING 40450 SELANGOR",12/11/25 4:41,TIADA MAKLUMAT,"19,501,899.93"
myprocurement_export (10).xlsx,25,[FTA (CPTPP)] TENDER MEMBEKAL DAN MENGHANTAR REAGEN DAN KONSUMABEL BERSERTA ANALYZER UNTUK UJIAN-UJIAN CLINICAL CHEMISTRY DI HOSPITAL-HOSPITAL NEGERI JOHOR BAGI TEMPOH EMPAT (4) TAHUN  (MAKLUMAT LANJUT SILA LAYARI SESAWANG HTTPS://JKNJOHOR.MOH.GOV.MY/JKNJ/TENDER-SEBUT-HARGA/)  [TAWARAN PETENDER DIBENARKAN DALAM BM/ENG],QT250000000019339,Bekalan,KEMENTERIAN KESIHATAN,GELIGA SISTEM SDN. BHD.,"35A, JALAN 17/45 PETALING 46400 SELANGOR",12/11/25 4:41,TIADA MAKLUMAT,"15,152,401.48"
myprocurement_export (10).xlsx,26,"TENDER MEMBEKAL, MENGHANTAR, MEMASANG, MENGUJI DAN MENTAULIAH PERALATAN PERUBATAN SATU (1) UNIT BONE MINERAL DENSITY DI JABATAN RADIOLOGI, HOSPITAL SULTANAH AMINAH, JOHOR BAHRU",QT250000000025611,Bekalan,KEMENTERIAN KESIHATAN,MEDILIANCE (M) SDN. BHD.,"NO. 11-2 SRI MANJA SQUARE II, JALAN PJS 3/59, TAMAN SRI MANJA PETALING 46100 SELANGOR",12/11/25 4:41,TIADA MAKLUMAT,"575,000.00"
